,ins,rep,model,fun,success,nit,nfev,Ta,Tb,Tc,Td
166,2023_02_12-10_41_30,7,A1,469.4043949633508,True,20,3150,785.1041779258829,884.7798868807866,1.7469410905058567,
167,2023_02_01-21_45_40,7,A1,0.0014341228782412034,True,48,7350,7.371045809267741,958.5684267062135,514.4113686895412,
168,2023_02_24-11_33_50,7,A1,0.002082947603194494,True,67,10200,109.20103000466565,2.8176663541138396,152.46532324454728,
169,2023_02_05-22_20_50,7,A1,0.0011770828290284733,True,81,12300,1.9626259572551703,37.75306002591606,21.508980929226823,
170,2023_02_18-16_43_50,7,A1,0.007322697389738734,True,73,11100,82.66776009831733,2.227981941250505,173.25467564051166,
171,2023_01_09-04_03_00,7,A1,0.05541651795862452,True,61,9300,0.0012896589918796053,0.637622991388298,0.004581523341528282,
172,2023_01_26-00_09_10,7,A1,0.007060982723688186,True,130,19650,570.2208428061796,1.2684270993774476,46.51918530843943,
173,2023_02_17-21_35_00,7,A1,0.004796017601217,True,131,19800,0.0010016161814405677,15.249158794613834,5.003646098980198,
174,2023_02_17-03_54_00,7,A1,0.002684388897832472,True,40,6150,997.5333824506416,4.623262367562063,583.3953461225519,
175,2023_02_09-23_59_00,7,A1,0.011098378962801763,True,43,6600,2.033668569098495,462.95577041543896,297.0188261713733,
176,2023_01_08-11_00_30,7,A1,0.010675201410826812,True,98,14850,247.01592081638557,5.7394900963948885,111.73433731290834,
177,2023_01_20-13_12_00,7,A1,0.025403879017104013,True,46,7050,7.230850729309111,987.7010530753832,479.97775787513,
178,2023_02_13-22_37_00,7,A1,0.010053229451625217,True,79,12000,3.072716433063647,90.92573912808331,40.39233636058367,
179,2023_01_04-00_16_30,7,A1,0.0015765609336735019,True,103,15600,305.4922689404201,2.286427932314723,34.62201792120243,
180,2023_01_24-09_44_02,7,A1,0.0014261135945042068,True,46,7050,1.9338594088894183,172.48100557938596,746.1337163995104,
181,2023_01_17-01_31_40,7,A1,0.0026254697492839657,True,54,8250,3.1573368418236214,71.24263758072027,27.461897354789585,
182,2023_02_07-04_56_30,7,A1,0.0031173762868776877,True,52,7950,438.67780987362585,2.9338307897528466,425.29323682316726,
183,2023_01_25-02_07_20,7,A1,0.00141255517717572,True,61,9300,4.864048839212671,55.85658088080095,214.3991113433915,
184,2023_02_09-00_13_00,8,A1,0.0002706774964264743,True,100,15150,16.081076263844693,0.9229520462561709,6.339633407222948,
185,2023_02_13-14_08_10,8,A1,15.998369779370222,True,9,1500,628.0342011220788,871.1825049857797,270.2916859424983,
186,2023_01_06-08_45_00,8,A1,0.004529541767187523,True,70,10650,2.967462988284865,918.7411582013536,59.977934226614934,
187,2023_01_05-00_21_20,8,A1,0.0021505857432212103,True,97,14700,3.691620086675073,419.03861562467716,65.37922886299191,
188,2023_01_13-14_04_00,8,A1,0.011014019736054058,True,34,5250,3.7653498334191795,880.0214357600967,544.9876965160395,
189,2023_02_12-10_41_30,8,A1,469.3374694100846,True,21,3300,898.2600959600763,992.3245399979802,0.5041150313327307,
190,2023_02_01-21_45_40,8,A1,0.0012876110048731981,True,65,9900,8.39179115550536,147.83986547215267,408.30441855215133,
191,2023_02_24-11_33_50,8,A1,0.002090943866587915,True,71,10800,2.812209597821038,162.60778590812595,396.87712281770325,
192,2023_02_05-22_20_50,8,A1,0.0011771644107591715,True,79,12000,1.9596702982142915,37.44470456924108,21.464693524216386,
193,2023_02_18-16_43_50,8,A1,0.007379555372163898,True,92,13950,2.2118769519672696,103.41928341135133,302.84662065021007,
194,2023_01_09-04_03_00,8,A1,0.05549612574310608,True,69,10500,0.5610689838814551,0.008307605151685493,0.004404256923351113,
195,2023_01_26-00_09_10,8,A1,0.007061931160670313,True,132,19950,1.2536621324750854,561.3170742541508,46.0537418425879,
196,2023_02_17-21_35_00,8,A1,0.004797875010633418,True,100,15150,0.0010927072738127208,15.207039061996852,4.98655707831864,
197,2023_02_17-03_54_00,8,A1,0.002673866646379287,True,43,6600,982.503946604412,4.601533536922318,549.0091727664732,
198,2023_02_09-23_59_00,8,A1,0.01095973963802426,True,74,11250,1.8284566776864608,216.49141390072373,140.90577087614082,
199,2023_01_08-11_00_30,8,A1,0.010663689081933287,True,69,10500,191.36327732900264,5.727840902369451,67.7629135545667,
200,2023_01_20-13_12_00,8,A1,0.010092162796067046,True,84,12750,0.8761647543579443,163.98635965301258,16.33981397625962,
201,2023_02_13-22_37_00,8,A1,0.010053128150049582,True,78,11850,3.0580771008883403,74.71646001208637,35.99815925659624,
202,2023_01_04-00_16_30,8,A1,0.001571719974474878,True,81,12300,384.8703827451489,2.3129111722933544,39.305448598193436,
203,2023_01_24-09_44_02,8,A1,0.0015651886180606612,True,52,7950,818.6298075272196,1.696852142757166,996.1082447474348,
204,2023_01_17-01_31_40,8,A1,0.0026312611990097837,True,71,10800,64.03841264016671,3.1255248488912457,25.886397965373874,
205,2023_02_07-04_56_30,8,A1,0.0031173619029133096,True,45,6900,490.67083888643225,2.9484498118500824,562.3399555328997,
206,2023_01_25-02_07_20,8,A1,0.0014128464503985884,True,54,8250,4.8095308459866715,74.97885894593901,491.79390076361403,
207,2023_02_09-00_13_00,9,A1,0.000270702594288307,True,124,18750,16.201831567477882,0.9301518172359806,6.396328500461095,
208,2023_02_13-14_08_10,9,A1,15.997341587650538,True,8,1350,491.84847031470923,806.9844278545891,83.71639931542569,
209,2023_01_06-08_45_00,9,A1,0.0045262518558896086,True,85,12900,2.9447331076221417,941.3601284444234,59.99156054143634,
210,2023_01_05-00_21_20,9,A1,0.0024673086358759566,True,69,10500,4.833352642485181,997.2483508923015,360.34958506219414,
211,2023_01_13-14_04_00,9,A1,0.010979073076404302,True,37,5700,4.025782028061087,500.1951586690853,687.1184423347039,
212,2023_02_12-10_41_30,9,A1,469.4734817715152,True,18,2850,585.9026706636168,955.5053663959737,2.22271979652146,
213,2023_02_01-21_45_40,9,A1,0.0012783929030203217,True,69,10500,8.540181079581089,127.29675630728718,356.90517602675516,
214,2023_02_24-11_33_50,9,A1,0.0020911510894127913,True,79,12000,160.168354218631,2.8291016231666504,398.1584276756404,
215,2023_02_05-22_20_50,9,A1,0.001176675708675801,True,72,10950,1.9681959838636658,38.14355239351994,21.68414637439099,
216,2023_02_18-16_43_50,9,A1,0.007380351446922445,True,70,10650,2.231065945960097,100.66029001339427,292.43491864886084,
217,2023_01_09-04_03_00,9,A1,1.889670877504379,True,11,1800,4.623490625848547,371.58425223645816,15.642101960083039,
218,2023_01_26-00_09_10,9,A1,0.007060045484599083,True,98,14850,566.0567360466521,1.2558008737252067,46.293075576135664,
219,2023_02_17-21_35_00,9,A1,0.004798195636478608,True,90,13650,0.0010370391023002412,15.250700755718753,5.010274299446394,
220,2023_02_17-03_54_00,9,A1,0.0026617431983547513,True,64,9750,949.8842801966679,4.585983255751557,507.0836815792827,
221,2023_02_09-23_59_00,9,A1,0.0110648642573399,True,43,6600,1.9290962405103187,456.2303674278681,279.4893015666117,
222,2023_01_08-11_00_30,9,A1,0.010806005445068378,True,52,7950,559.3728278746163,4.7532416176129,327.83975694494626,
223,2023_01_20-13_12_00,9,A1,0.02560696286484023,True,60,9150,7.412288313516285,996.9994681435219,699.2504457893074,
224,2023_02_13-22_37_00,9,A1,0.017401282757907924,True,61,9300,4.466274143913324,922.4234027660503,479.5598611964117,
225,2023_01_04-00_16_30,9,A1,0.0015750739794181613,True,108,16350,332.1484324696421,2.301017661766366,36.35582916611031,
226,2023_01_24-09_44_02,9,A1,0.0014261793608323923,True,65,9900,185.81539082542963,1.9353246602608465,922.2720340072597,
227,2023_01_17-01_31_40,9,A1,0.0026237932123286526,True,53,8100,3.1519333628440904,71.47135116098133,27.42700776983031,
228,2023_02_07-04_56_30,9,A1,0.003115966199225593,True,53,8100,374.8390971671256,2.943335381136933,335.7940505670166,
229,2023_01_25-02_07_20,9,A1,0.0014129874821256056,True,49,7500,71.33055273125797,4.81265177985,403.52550590516483,
230,2023_02_09-00_13_00,10,A1,0.000270943789891226,True,101,15300,0.9060565315288045,16.006833560064536,6.287111080241459,
231,2023_02_13-14_08_10,10,A1,15.996844571171309,True,11,1800,684.6715727350622,824.1563042887776,38.195792152972956,
