Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-05-10 03:52:57.840000,49.979909,49.980363,49.981393,49.980555,73,1695
2022-05-10 03:52:57.860000,49.980392,49.980098,49.980595,49.98036166666666,73,1695
2022-05-10 03:52:57.880000,49.979547,49.979552,49.979651,49.97958333333333,73,1695
2022-05-10 03:52:57.900000,49.979005,49.978577,49.978737,49.978773,73,1695
2022-05-10 03:52:57.920000,49.979424,49.977802,49.978753,49.97865966666666,73,1695
2022-05-10 03:52:57.940000,49.979442,49.978293,49.97941,49.97904833333333,73,1695
2022-05-10 03:52:57.960000,49.978645,49.978285,49.977633,49.97818766666666,73,1695
2022-05-10 03:52:57.980000,49.978572,49.977838,49.976036,49.977482,73,1695
2022-05-10 03:52:58.000000,49.978842,49.977941,49.977821,49.97820133333334,73,1695
2022-05-10 03:52:58.020000,49.978287,49.977485,49.979113,49.978295,73,1695
2022-05-10 03:52:58.040000,49.977596,49.976846,49.977858,49.97743333333333,73,1695
2022-05-10 03:52:58.060000,49.9768,49.977955,49.977345,49.97736666666666,73,1695
2022-05-10 03:52:58.080000,49.976726,49.979008,49.977784,49.97783933333333,73,1695
2022-05-10 03:52:58.100000,49.978167,49.978841,49.978834,49.978614,73,1695
2022-05-10 03:52:58.120000,49.978603,49.977802,49.978988,49.97846433333333,73,1695
2022-05-10 03:52:58.140000,49.97634,49.977026,49.976628,49.976664666666665,73,1695
2022-05-10 03:52:58.160000,49.974631,49.977938,49.975616,49.97606166666667,73,1695
2022-05-10 03:52:58.180000,49.975113,49.97828,49.976132,49.976508333333335,73,1695
2022-05-10 03:52:58.200000,49.975259,49.977047,49.97577,49.976025333333325,73,1695
2022-05-10 03:52:58.220000,49.976084,49.977824,49.976609,49.976839000000005,73,1695
2022-05-10 03:52:58.240000,49.977023,49.979215,49.978321,49.97818633333333,73,1695
2022-05-10 03:52:58.260000,49.975367,49.977928,49.977751,49.97701533333333,73,1695
2022-05-10 03:52:58.280000,49.973652,49.976295,49.97586,49.975269000000004,73,1695
2022-05-10 03:52:58.300000,49.974546,49.976412,49.975442,49.97546666666667,73,1695
2022-05-10 03:52:58.320000,49.97646,49.977075,49.976355,49.97663,73,1695
2022-05-10 03:52:58.340000,49.977355,49.976861,49.976775,49.976997000000004,73,1695
2022-05-10 03:52:58.360000,49.97612,49.976041,49.976455,49.97620533333333,73,1695
2022-05-10 03:52:58.380000,49.974631,49.97663,49.975728,49.975663,73,1695
2022-05-10 03:52:58.400000,49.974527,49.977171,49.974794,49.97549733333333,73,1695
2022-05-10 03:52:58.420000,49.974921,49.977208,49.975446,49.97585833333333,73,1695
2022-05-10 03:52:58.440000,49.974561,49.977394,49.976535,49.97616333333334,73,1695
2022-05-10 03:52:58.460000,49.974852,49.977269,49.977298,49.976473,73,1695
2022-05-10 03:52:58.480000,49.97567,49.977042,49.977136,49.976616,73,1695
2022-05-10 03:52:58.500000,49.974561,49.975588,49.974055,49.97473466666667,73,1695
2022-05-10 03:52:58.520000,49.973049,49.97443,49.973306,49.973594999999996,73,1695
