Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CIO,Potencia,Inicio
2023-02-09 00:13:03.380000,50.000552,50.004191,50.00118,50.00197433333333,154,2550
2023-02-09 00:13:03.400000,50.002111,50.003565,50.002383,50.00268633333334,154,2550
2023-02-09 00:13:03.420000,50.002467,50.001944,50.001659,50.002023333333334,154,2550
2023-02-09 00:13:03.440000,50.002569,50.001791,50.000552,50.00163733333333,154,2550
2023-02-09 00:13:03.460000,50.00263,50.002394,50.000179,50.00173433333333,154,2550
2023-02-09 00:13:03.480000,50.001162,50.002046,49.999477,50.00089499999999,154,2550
2023-02-09 00:13:03.500000,50.000066,50.002343,49.999026,50.00047833333334,154,2550
2023-02-09 00:13:03.520000,50.000661,50.003495,49.999585,50.001247,154,2550
2023-02-09 00:13:03.540000,50.001,50.004347,50.000235,50.001860666666666,154,2550
2023-02-09 00:13:03.560000,50.000685,50.003931,50.000438,50.00168466666667,154,2550
2023-02-09 00:13:03.580000,50.00037,50.001765,50.000273,50.000802666666665,154,2550
2023-02-09 00:13:03.600000,50.000357,50.000449,49.999899,50.000235,154,2550
2023-02-09 00:13:03.620000,50.000811,50.001981,50.00048,50.00109066666667,154,2550
2023-02-09 00:13:03.640000,50.000611,50.003366,50.001659,50.00187866666666,154,2550
2023-02-09 00:13:03.660000,49.999203,50.002621,50.002402,50.00140866666666,154,2550
2023-02-09 00:13:03.680000,49.998172,50.000764,50.002024,50.000319999999995,154,2550
2023-02-09 00:13:03.700000,49.997893,49.99929,50.001216,49.99946633333334,154,2550
2023-02-09 00:13:03.720000,49.998412,49.999435,50.001168,49.99967166666667,154,2550
2023-02-09 00:13:03.740000,49.999723,50.000449,50.001757,50.000643000000004,154,2550
2023-02-09 00:13:03.760000,50.000005,50.00032,50.001951,50.00075866666666,154,2550
2023-02-09 00:13:03.780000,49.998986,49.99963,50.001144,49.999919999999996,154,2550
2023-02-09 00:13:03.800000,49.998703,50.00019,50.000328,49.999740333333335,154,2550
2023-02-09 00:13:03.820000,49.998704,50.0015,50.000523,50.000242333333325,154,2550
2023-02-09 00:13:03.840000,49.997787,50.000635,50.000006,49.999475999999994,154,2550
2023-02-09 00:13:03.860000,49.998065,49.999152,49.999581,49.99893266666667,154,2550
2023-02-09 00:13:03.880000,50.000223,49.999847,49.999657,49.999909,154,2550
2023-02-09 00:13:03.900000,49.999875,49.998638,49.998684,49.99906566666667,154,2550
2023-02-09 00:13:03.920000,49.997939,49.997296,49.997918,49.99771766666667,154,2550
2023-02-09 00:13:03.940000,49.997985,49.99882,49.998676,49.99849366666666,154,2550
2023-02-09 00:13:03.960000,49.997893,49.9995,49.998828,49.99874033333333,154,2550
2023-02-09 00:13:03.980000,49.996926,49.998908,49.998064,49.997966,154,2550
2023-02-09 00:13:04.000000,49.996186,49.997872,49.996913,49.996990333333336,154,2550
2023-02-09 00:13:04.020000,49.995629,49.997209,49.996423,49.99642033333333,154,2550
2023-02-09 00:13:04.040000,49.99731,49.997388,49.997155,49.99728433333333,154,2550
2023-02-09 00:13:04.060000,49.998773,49.996356,49.997244,49.99745766666666,154,2550
2023-02-09 00:13:04.080000,49.997834,49.994921,49.996439,49.996398,154,2550
2023-02-09 00:13:04.100000,49.998051,49.996097,49.997133,49.997093666666665,154,2550
2023-02-09 00:13:04.120000,49.999074,49.996513,49.997896,49.997827666666666,154,2550
2023-02-09 00:13:04.140000,49.997172,49.995014,49.996616,49.99626733333334,154,2550
2023-02-09 00:13:04.160000,49.995282,49.99563,49.995654,49.995522,154,2550
2023-02-09 00:13:04.180000,49.996231,49.99701,49.99608,49.99644033333334,154,2550
2023-02-09 00:13:04.200000,49.997486,49.995705,49.996294,49.996495,154,2550
2023-02-09 00:13:04.220000,49.997551,49.994667,49.996254,49.996157333333336,154,2550
2023-02-09 00:13:04.240000,49.9977,49.99567,49.995948,49.996439333333335,154,2550
2023-02-09 00:13:04.260000,49.99707,49.995614,49.994674,49.995786,154,2550
2023-02-09 00:13:04.280000,49.99557,49.994366,49.99343,49.99445533333333,154,2550
2023-02-09 00:13:04.300000,49.995111,49.994075,49.993899,49.99436166666667,154,2550
2023-02-09 00:13:04.320000,49.995671,49.994354,49.995305,49.995110000000004,154,2550
2023-02-09 00:13:04.340000,49.995903,49.994333,49.995926,49.995387333333326,154,2550
2023-02-09 00:13:04.360000,49.995736,49.993934,49.995527,49.99506566666667,154,2550
2023-02-09 00:13:04.380000,49.995528,49.993389,49.99481,49.99457566666666,154,2550
2023-02-09 00:13:04.400000,49.995945,49.992843,49.993994,49.99426066666666,154,2550
2023-02-09 00:13:04.420000,49.995861,49.992987,49.993065,49.993970999999995,154,2550
2023-02-09 00:13:04.440000,49.995309,49.994137,49.993257,49.99423433333334,154,2550
2023-02-09 00:13:04.460000,49.99448,49.994332,49.993291,49.99403433333333,154,2550
2023-02-09 00:13:04.480000,49.993213,49.993733,49.9926,49.993182,154,2550
2023-02-09 00:13:04.500000,49.993316,49.994085,49.99239,49.99326366666667,154,2550
2023-02-09 00:13:04.520000,49.994621,49.994004,49.992366,49.99366366666666,154,2550
2023-02-09 00:13:04.540000,49.994555,49.993213,49.992184,49.99331733333333,154,2550
2023-02-09 00:13:04.560000,49.994149,49.993449,49.992986,49.993528,154,2550
2023-02-09 00:13:04.580000,49.99413,49.99288,49.99408,49.993696666666665,154,2550
2023-02-09 00:13:04.600000,49.992981,49.991055,49.993494,49.99251,154,2550
2023-02-09 00:13:04.620000,49.991509,49.991973,49.993003,49.992161666666675,154,2550
2023-02-09 00:13:04.640000,49.991121,49.993472,49.993371,49.99265466666666,154,2550
2023-02-09 00:13:04.660000,49.991014,49.992995,49.993374,49.992461,154,2550
